iter	RMSE
0	1524.202062
1	1469.914269
2	1416.374682
3	1367.472468
4	1319.497884
5	1278.634874
6	1237.039392
7	1198.344902
8	1162.188602
9	1126.614772
10	1094.212291
11	1063.653686
12	1032.605502
13	1003.024884
14	977.4717475
15	953.3189162
16	927.8042038
17	904.8551425
18	884.0525039
19	863.3036831
20	845.5800563
21	826.8844687
22	808.8630031
23	791.180592
24	773.8197712
25	757.2930431
26	742.501795
27	730.7781889
28	716.5564484
29	702.8172223
30	689.4892488
31	677.5485684
32	665.562535
33	654.9480159
34	643.7583233
35	633.1829039
36	623.2118193
37	612.8559444
38	602.9651503
39	593.7882815
40	586.4443511
41	585.1523599
42	577.7242037
43	576.473146
44	570.0462262
45	568.8408001
46	567.6616799
47	566.5110766
48	565.3853576
49	563.772933
50	559.2922291
51	552.33342
52	551.2940943
53	549.7009391
54	541.863786
55	535.3353948
56	534.3619597
57	533.4141879
58	532.4834513
59	527.0581096
60	526.1621578
61	524.663758
62	523.8002732
63	521.3295764
64	520.5114322
65	519.2269673
66	513.8088446
67	512.5171323
68	511.1678148
69	508.9104134
70	508.1911256
71	501.1802111
72	500.4856934
73	499.2275613
74	498.0006119
75	496.8334921
76	496.1921275
77	494.1784343
78	489.9782423
79	488.96694
80	488.3814279
81	481.7430723
82	481.181142
83	476.7348667
84	470.3813098
85	463.9713867
86	462.8981815
87	462.3786559
88	457.5067005
89	456.4690143
90	455.4340687
91	449.4233594
92	448.9482195
93	448.4934182
94	447.53077
95	444.2463921
96	443.4527183
97	441.3336644
98	438.7925775
99	437.8739309
100	437.0014645
101	432.6816432
102	429.7467747
103	426.105982
104	422.4308031
105	418.7977555
106	418.0975969
107	415.5286864
108	415.189193
109	414.4140689
110	413.6143074
111	412.6038454
112	409.1419526
113	405.6087946
114	403.1687028
115	399.0942011
116	398.3531652
117	395.2462269
118	394.9706689
119	391.9855711
120	387.5467605
121	387.2841496
122	383.008059
123	382.306413
124	379.545872
125	376.2719442
126	372.1047242
127	368.2541295
128	366.4535993
129	362.6983078
130	358.9365378
131	355.7067591
132	353.8898888
133	351.5339923
134	351.3257857
135	350.6911307
136	348.6609383
137	345.5498343
138	341.7841157
139	338.5485495
140	337.9209357
141	337.4038684
142	333.8759563
143	330.6710307
144	328.55502
145	326.6975285
146	322.8391342
147	320.2809777
148	319.7771842
149	318.7847152
150	318.6320836
151	316.2297468
152	314.1768824
153	313.6177828
154	311.3155271
155	309.6227252
156	309.3029123
157	308.7102535
158	305.1171285
159	302.5977408
160	300.0561487
161	297.6371545
162	295.5332944
163	293.3886834
164	292.7960657
165	292.2189219
166	288.6964184
167	287.0405997
168	285.7036059
169	283.6364983
170	283.5321245
171	282.9692386
172	282.4199498
173	281.8834231
174	280.1718474
175	278.6423196
176	278.1243568
177	277.6222291
178	276.1927822
179	275.5575858
180	275.080588
181	272.7786391
182	272.3147211
183	271.8648575
184	271.411464
185	270.98076
186	267.7505877
187	265.9275082
188	265.5028252
189	264.4402637
190	264.0162188
191	261.1006772
192	260.7079691
193	259.2064268
194	258.8016264
195	258.4274896
196	258.0481861
197	257.6772455
198	257.3261438
199	256.2070234
200	255.8677906
201	255.5401561
202	252.3219115
203	252.0038965
204	251.2929801
205	250.9950576
206	250.7002817
207	248.1040792
208	244.9838285
209	243.0214894
210	241.1503943
211	238.3269751
212	236.28751
213	234.4836926
214	234.2026778
215	231.6159421
216	231.344009
217	229.5752269
218	229.3040334
219	227.7186277
220	227.4571564
221	225.3322587
222	224.0484803
223	223.7843129
224	221.2810299
225	219.0255221
226	217.6382504
227	215.2881891
228	213.5978236
229	212.3950134
230	211.3733387
231	210.0503076
232	209.8029747
233	208.6642483
234	206.4470792
235	206.2075284
236	204.4816515
237	203.2856545
238	203.0559796
239	201.0000331
240	199.6156684
241	198.3984664
242	196.5403387
243	195.2339873
244	193.4025071
245	192.5455698
246	191.3347418
247	191.1172486
248	189.4849763
249	188.3468671
250	186.7847898
251	185.8308238
252	184.9300001
253	184.1737891
254	183.9669688
255	182.9952323
256	181.4900689
257	180.9354786
258	179.4156979
259	178.1678791
260	176.939767
261	175.8479068
262	174.9764627
263	174.259987
264	173.2042161
265	172.5379145
266	171.2237124
267	169.9795143
268	169.3261197
269	168.1389827
270	167.3657947
271	166.389026
272	165.5043913
273	164.8981504
274	163.8201537
275	162.6832222
276	161.7477901
277	160.6720358
278	159.5387535
279	158.4304926
280	157.4758723
281	156.9761381
282	156.0883558
283	154.9415213
284	154.0598478
285	153.1286831
286	152.5068999
287	151.7466648
288	150.934074
289	150.5023235
290	149.6724039
291	148.84375
292	147.8239587
293	146.8620362
294	145.9584132
295	145.1095272
296	144.4407993
297	143.4788456
298	142.8269806
299	142.1368604
