iter	Passed	Remaining
0	10	3093
1	19	2978
2	31	3167
3	45	3351
4	58	3427
5	67	3329
6	78	3286
7	88	3221
8	99	3213
9	109	3165
10	118	3124
11	130	3122
12	141	3125
13	151	3104
14	163	3107
15	174	3103
16	185	3082
17	196	3082
18	206	3059
19	216	3029
20	227	3023
21	239	3024
22	249	3008
23	260	2993
24	273	3013
25	284	2994
26	295	2982
27	308	2994
28	322	3010
29	333	2999
30	343	2981
31	355	2978
32	366	2961
33	376	2942
34	386	2927
35	396	2905
36	411	2927
37	423	2916
38	433	2900
39	442	2878
40	454	2868
41	464	2851
42	473	2830
43	482	2809
44	496	2812
45	515	2844
46	532	2865
47	542	2846
48	553	2833
49	564	2822
50	574	2802
51	587	2799
52	599	2792
53	613	2794
54	630	2809
55	641	2794
56	651	2776
57	661	2758
58	670	2740
59	681	2726
60	691	2707
61	701	2693
62	713	2685
63	723	2667
64	732	2647
65	741	2629
66	754	2623
67	767	2619
68	779	2611
69	791	2600
70	800	2581
71	812	2574
72	825	2567
73	835	2551
74	849	2548
75	863	2546
76	876	2539
77	888	2528
78	898	2512
79	907	2495
80	917	2479
81	930	2474
82	940	2459
83	951	2446
84	1012	2561
85	1060	2639
86	1085	2656
87	1119	2697
88	1138	2700
89	1153	2692
90	1166	2680
91	1179	2666
92	1189	2648
93	1196	2622
94	1207	2605
95	1220	2594
96	1232	2578
97	1244	2565
98	1265	2569
99	1282	2565
100	1305	2571
101	1343	2608
102	1358	2598
103	1372	2587
104	1389	2581
105	1408	2577
106	1433	2585
107	1450	2578
108	1464	2566
109	1477	2551
110	1489	2535
111	1508	2531
112	1522	2519
113	1536	2506
114	1547	2489
115	1558	2472
116	1569	2455
117	1580	2437
118	1587	2415
119	1597	2396
120	1606	2376
121	1615	2357
122	1624	2338
123	1635	2321
124	1645	2303
125	1653	2283
126	1665	2269
127	1675	2251
128	1684	2232
129	1695	2216
130	1705	2199
131	1716	2184
132	1726	2168
133	1736	2151
134	1747	2135
135	1757	2119
136	1767	2103
137	1777	2086
138	1786	2069
139	1796	2052
140	1805	2036
141	1816	2020
142	1828	2007
143	1839	1992
144	1848	1976
145	1858	1960
146	1868	1944
147	1877	1928
148	1886	1911
149	1895	1895
150	1901	1876
151	1913	1862
152	1923	1848
153	1932	1832
154	1945	1819
155	1954	1804
156	1963	1788
157	1973	1773
158	1981	1757
159	1992	1743
160	2002	1729
161	2012	1714
162	2022	1700
163	2032	1685
164	2045	1673
165	2058	1661
166	2068	1647
167	2078	1633
168	2090	1620
169	2100	1606
170	2109	1591
171	2119	1577
172	2128	1562
173	2138	1548
174	2147	1533
175	2157	1520
176	2166	1505
177	2175	1490
178	2183	1475
179	2191	1460
180	2199	1446
181	2208	1431
182	2217	1417
183	2225	1403
184	2234	1388
185	2243	1375
186	2252	1361
187	2261	1346
188	2269	1332
189	2277	1318
190	2288	1306
191	2299	1293
192	2308	1279
193	2317	1266
194	2326	1252
195	2336	1239
196	2344	1225
197	2354	1212
198	2363	1199
199	2373	1186
200	2384	1174
201	2394	1161
202	2406	1149
203	2416	1137
204	2428	1125
205	2438	1112
206	2448	1100
207	2458	1087
208	2469	1075
209	2482	1063
210	2492	1051
211	2503	1039
212	2512	1026
213	2523	1014
214	2533	1001
215	2544	989
216	2553	976
217	2563	964
218	2572	951
219	2582	938
220	2591	926
221	2602	914
222	2613	902
223	2622	889
224	2633	877
225	2643	865
226	2653	853
227	2663	841
228	2673	828
229	2681	816
230	2689	803
231	2698	790
232	2707	778
233	2717	766
234	2727	754
235	2737	742
236	2746	730
237	2757	718
238	2768	706
239	2778	694
240	2789	682
241	2799	670
242	2808	658
243	2817	646
244	2829	635
245	2839	623
246	2849	611
247	2859	599
248	2869	587
249	2879	575
250	2888	563
251	2898	552
252	2908	540
253	2917	528
254	2926	516
255	2935	504
256	2945	492
257	2954	480
258	2963	469
259	2974	457
260	2984	446
261	2995	434
262	3005	422
263	3016	411
264	3026	399
265	3035	388
266	3044	376
267	3052	364
268	3062	352
269	3072	341
270	3083	329
271	3094	318
272	3104	307
273	3114	295
274	3124	284
275	3132	272
276	3141	260
277	3152	249
278	3161	237
279	3170	226
280	3180	215
281	3188	203
282	3200	192
283	3211	180
284	3219	169
285	3229	158
286	3239	146
287	3248	135
288	3259	124
289	3269	112
290	3278	101
291	3288	90
292	3298	78
293	3309	67
294	3318	56
295	3328	44
296	3337	33
297	3351	22
298	3362	11
299	3373	0
